name,brand,category,aisle,price,image_url,description,on_offer,discount_percent,stock,is_sponsored,tags
General Mills Pasta Item 1,General Mills,Pasta,6,4.44,https://images.unsplash.com/photo-1600891964599-f61ba0e24092,A quality pasta product from General Mills.,False,0.0,41,False,"non-GMO, heart healthy, vegan"
General Mills Pet Food Item 2,General Mills,Pet Food,12,6.88,https://images.unsplash.com/photo-1601758064226-0a74f3a87eec,A quality pet food product from General Mills.,False,0.0,46,False,organic
Heinz Cleaning Item 3,Heinz,Cleaning,10,22.98,https://images.unsplash.com/photo-1603468621535-22e361e26a8c,A quality cleaning product from Heinz.,False,0.0,25,False,"vegan, organic"
Quaker Beverages Item 4,Quaker,Beverages,4,11.4,https://images.unsplash.com/photo-1571072019620-1a60c7cde407,A quality beverages product from Quaker.,False,0.0,28,True,"organic, low sugar"
Barilla Vegetables Item 5,Barilla,Vegetables,1,5.84,https://images.unsplash.com/photo-1601004890684-d8cbf643f5f2,A quality vegetables product from Barilla.,False,0.0,46,False,"vegan, organic, gluten-free"
Kellogg's Dairy Item 6,Kellogg's,Dairy,2,23.61,https://images.unsplash.com/photo-1580910051073-d4b7c0e3f649,A quality dairy product from Kellogg's.,False,0.0,11,True,"non-GMO, low sugar"
Dove Meat Item 7,Dove,Meat,9,6.93,https://images.unsplash.com/photo-1551183053-bf91a1d81141,A quality meat product from Dove.,False,0.0,25,False,low fat
Nestle Pet Food Item 8,Nestle,Pet Food,12,5.42,https://images.unsplash.com/photo-1601758064226-0a74f3a87eec,A quality pet food product from Nestle.,False,0.0,43,False,"heart healthy, low sugar, organic"
Heinz Cleaning Item 9,Heinz,Cleaning,10,11.87,https://images.unsplash.com/photo-1603468621535-22e361e26a8c,A quality cleaning product from Heinz.,False,0.0,27,False,"organic, non-GMO, heart healthy"
Quaker Pet Food Item 10,Quaker,Pet Food,12,11.08,https://images.unsplash.com/photo-1601758064226-0a74f3a87eec,A quality pet food product from Quaker.,True,13.8,29,False,"low fat, gluten-free"
Colgate Condiments Item 11,Colgate,Condiments,3,18.48,https://images.unsplash.com/photo-1589302168068-964664d93dc0,A quality condiments product from Colgate.,False,0.0,18,False,low fat
Quaker Toiletries Item 12,Quaker,Toiletries,11,5.15,https://images.unsplash.com/photo-1610911845064-956464e6df5c,A quality toiletries product from Quaker.,True,5.9,48,False,non-GMO
Barilla Bakery Item 13,Barilla,Bakery,7,19.85,https://images.unsplash.com/photo-1604908813263-0034e1ad0a7c,A quality bakery product from Barilla.,True,9.2,43,False,gluten-free
Dove Cereal Item 14,Dove,Cereal,3,10.39,https://images.unsplash.com/photo-1585238341971-fd1a5cddb951,A quality cereal product from Dove.,False,0.0,23,False,"high protein, organic, vegan"
Barilla Meat Item 15,Barilla,Meat,9,5.05,https://images.unsplash.com/photo-1551183053-bf91a1d81141,A quality meat product from Barilla.,True,15.7,15,False,vegan
Kellogg's Dairy Item 16,Kellogg's,Dairy,2,10.26,https://images.unsplash.com/photo-1580910051073-d4b7c0e3f649,A quality dairy product from Kellogg's.,False,0.0,30,False,"heart healthy, non-GMO, low sugar"
General Mills Snacks Item 17,General Mills,Snacks,5,16.9,https://images.unsplash.com/photo-1585238342021-6c71f3b88e4c,A quality snacks product from General Mills.,True,5.2,10,False,"gluten-free, organic, vegan"
Quaker Dairy Item 18,Quaker,Dairy,2,16.39,https://images.unsplash.com/photo-1580910051073-d4b7c0e3f649,A quality dairy product from Quaker.,False,0.0,46,False,"heart healthy, high protein, gluten-free"
Dove Bakery Item 19,Dove,Bakery,7,18.32,https://images.unsplash.com/photo-1604908813263-0034e1ad0a7c,A quality bakery product from Dove.,False,0.0,33,False,"high protein, low fat, non-GMO"
Great Value Frozen Item 20,Great Value,Frozen,8,23.84,https://images.unsplash.com/photo-1607277511772-4e5b30844b35,A quality frozen product from Great Value.,False,0.0,0,True,"vegan, low sugar"
Colgate Pet Food Item 21,Colgate,Pet Food,12,13.82,https://images.unsplash.com/photo-1601758064226-0a74f3a87eec,A quality pet food product from Colgate.,True,18.3,9,False,"organic, non-GMO, low sugar"
Nestle Pet Food Item 22,Nestle,Pet Food,12,14.6,https://images.unsplash.com/photo-1601758064226-0a74f3a87eec,A quality pet food product from Nestle.,True,15.4,47,False,"heart healthy, non-GMO, high protein"
Quaker Cleaning Item 23,Quaker,Cleaning,10,24.58,https://images.unsplash.com/photo-1603468621535-22e361e26a8c,A quality cleaning product from Quaker.,False,0.0,29,False,"low sugar, organic"
Colgate Beverages Item 24,Colgate,Beverages,4,3.58,https://images.unsplash.com/photo-1571072019620-1a60c7cde407,A quality beverages product from Colgate.,False,0.0,29,False,"vegan, gluten-free, low fat"
Great Value Beverages Item 25,Great Value,Beverages,4,14.58,https://images.unsplash.com/photo-1571072019620-1a60c7cde407,A quality beverages product from Great Value.,False,0.0,18,False,"non-GMO, high protein"
Colgate Vegetables Item 26,Colgate,Vegetables,1,9.21,https://images.unsplash.com/photo-1601004890684-d8cbf643f5f2,A quality vegetables product from Colgate.,False,0.0,21,True,"low sugar, high protein, low fat"
Nestle Bakery Item 27,Nestle,Bakery,7,22.93,https://images.unsplash.com/photo-1604908813263-0034e1ad0a7c,A quality bakery product from Nestle.,False,0.0,2,True,"vegan, low sugar, gluten-free"
Dove Meat Item 28,Dove,Meat,9,16.82,https://images.unsplash.com/photo-1551183053-bf91a1d81141,A quality meat product from Dove.,True,16.5,2,False,"vegan, low fat"
Barilla Fruits Item 29,Barilla,Fruits,1,24.4,https://images.unsplash.com/photo-1574226516831-e1dff420e12b,A quality fruits product from Barilla.,False,0.0,5,False,low sugar
Nestle Fruits Item 30,Nestle,Fruits,1,5.54,https://images.unsplash.com/photo-1574226516831-e1dff420e12b,A quality fruits product from Nestle.,False,0.0,29,False,"gluten-free, heart healthy, vegan"
Kellogg's Fruits Item 31,Kellogg's,Fruits,1,21.52,https://images.unsplash.com/photo-1574226516831-e1dff420e12b,A quality fruits product from Kellogg's.,False,0.0,29,False,"vegan, low fat, gluten-free"
Heinz Toiletries Item 32,Heinz,Toiletries,11,24.49,https://images.unsplash.com/photo-1610911845064-956464e6df5c,A quality toiletries product from Heinz.,True,26.4,31,False,"heart healthy, non-GMO"
Colgate Bakery Item 33,Colgate,Bakery,7,24.82,https://images.unsplash.com/photo-1604908813263-0034e1ad0a7c,A quality bakery product from Colgate.,True,22.0,28,False,"heart healthy, low fat, low sugar"
General Mills Cleaning Item 34,General Mills,Cleaning,10,3.32,https://images.unsplash.com/photo-1603468621535-22e361e26a8c,A quality cleaning product from General Mills.,False,0.0,6,False,"heart healthy, low sugar"
Nestle Pet Food Item 35,Nestle,Pet Food,12,12.17,https://images.unsplash.com/photo-1601758064226-0a74f3a87eec,A quality pet food product from Nestle.,True,8.8,23,False,"low fat, high protein, heart healthy"
Barilla Pet Food Item 36,Barilla,Pet Food,12,13.63,https://images.unsplash.com/photo-1601758064226-0a74f3a87eec,A quality pet food product from Barilla.,False,0.0,13,False,non-GMO
General Mills Frozen Item 37,General Mills,Frozen,8,7.68,https://images.unsplash.com/photo-1607277511772-4e5b30844b35,A quality frozen product from General Mills.,False,0.0,2,False,"low sugar, non-GMO"
General Mills Condiments Item 38,General Mills,Condiments,3,17.93,https://images.unsplash.com/photo-1589302168068-964664d93dc0,A quality condiments product from General Mills.,True,12.0,15,False,low fat
General Mills Frozen Item 39,General Mills,Frozen,8,24.43,https://images.unsplash.com/photo-1607277511772-4e5b30844b35,A quality frozen product from General Mills.,True,20.8,42,True,"gluten-free, organic, vegan"
Barilla Pasta Item 40,Barilla,Pasta,6,12.91,https://images.unsplash.com/photo-1600891964599-f61ba0e24092,A quality pasta product from Barilla.,False,0.0,22,False,gluten-free
Great Value Snacks Item 41,Great Value,Snacks,5,8.29,https://images.unsplash.com/photo-1585238342021-6c71f3b88e4c,A quality snacks product from Great Value.,False,0.0,34,False,"gluten-free, vegan"
Dove Vegetables Item 42,Dove,Vegetables,1,6.47,https://images.unsplash.com/photo-1601004890684-d8cbf643f5f2,A quality vegetables product from Dove.,False,0.0,38,True,"gluten-free, vegan"
Kellogg's Meat Item 43,Kellogg's,Meat,9,18.65,https://images.unsplash.com/photo-1551183053-bf91a1d81141,A quality meat product from Kellogg's.,True,15.8,39,False,low fat
Quaker Beverages Item 44,Quaker,Beverages,4,8.75,https://images.unsplash.com/photo-1571072019620-1a60c7cde407,A quality beverages product from Quaker.,False,0.0,25,True,low sugar
Dove Beverages Item 45,Dove,Beverages,4,9.37,https://images.unsplash.com/photo-1571072019620-1a60c7cde407,A quality beverages product from Dove.,False,0.0,49,False,non-GMO
Campbell's Meat Item 46,Campbell's,Meat,9,8.82,https://images.unsplash.com/photo-1551183053-bf91a1d81141,A quality meat product from Campbell's.,False,0.0,17,False,"non-GMO, high protein"
Quaker Pet Food Item 47,Quaker,Pet Food,12,13.04,https://images.unsplash.com/photo-1601758064226-0a74f3a87eec,A quality pet food product from Quaker.,False,0.0,20,False,low fat
General Mills Dairy Item 48,General Mills,Dairy,2,6.31,https://images.unsplash.com/photo-1580910051073-d4b7c0e3f649,A quality dairy product from General Mills.,True,17.4,10,False,"heart healthy, high protein, low sugar"
Heinz Dairy Item 49,Heinz,Dairy,2,15.07,https://images.unsplash.com/photo-1580910051073-d4b7c0e3f649,A quality dairy product from Heinz.,True,21.2,26,False,gluten-free
Nestle Toiletries Item 50,Nestle,Toiletries,11,13.8,https://images.unsplash.com/photo-1610911845064-956464e6df5c,A quality toiletries product from Nestle.,False,0.0,13,False,"low fat, organic"
Heinz Dairy Item 51,Heinz,Dairy,2,16.38,https://images.unsplash.com/photo-1580910051073-d4b7c0e3f649,A quality dairy product from Heinz.,False,0.0,1,False,low fat
Nestle Vegetables Item 52,Nestle,Vegetables,1,5.98,https://images.unsplash.com/photo-1601004890684-d8cbf643f5f2,A quality vegetables product from Nestle.,False,0.0,2,False,"high protein, vegan"
Campbell's Pasta Item 53,Campbell's,Pasta,6,2.28,https://images.unsplash.com/photo-1600891964599-f61ba0e24092,A quality pasta product from Campbell's.,False,0.0,8,False,"non-GMO, high protein, organic"
Colgate Vegetables Item 54,Colgate,Vegetables,1,21.9,https://images.unsplash.com/photo-1601004890684-d8cbf643f5f2,A quality vegetables product from Colgate.,False,0.0,10,False,"low fat, organic"
Heinz Pasta Item 55,Heinz,Pasta,6,14.04,https://images.unsplash.com/photo-1600891964599-f61ba0e24092,A quality pasta product from Heinz.,False,0.0,10,False,heart healthy
Campbell's Cleaning Item 56,Campbell's,Cleaning,10,15.46,https://images.unsplash.com/photo-1603468621535-22e361e26a8c,A quality cleaning product from Campbell's.,False,0.0,39,False,"heart healthy, low sugar"
Barilla Fruits Item 57,Barilla,Fruits,1,12.68,https://images.unsplash.com/photo-1574226516831-e1dff420e12b,A quality fruits product from Barilla.,False,0.0,50,False,heart healthy
Colgate Cleaning Item 58,Colgate,Cleaning,10,15.64,https://images.unsplash.com/photo-1603468621535-22e361e26a8c,A quality cleaning product from Colgate.,False,0.0,16,True,low fat
Barilla Cereal Item 59,Barilla,Cereal,3,4.88,https://images.unsplash.com/photo-1585238341971-fd1a5cddb951,A quality cereal product from Barilla.,False,0.0,46,False,heart healthy
